68	23.000	2.000	0.000	2315959.421	5126653.957	827.837
69	23.000	3.000	0.000	2315983.910	5126649.942	829.237
1026	26.000	0.000	0.000	2316000.465	5126623.154	836.629
70	24.000	1.000	0.000	2316015.642	5126609.751	835.434
71	24.000	2.000	0.000	2316040.043	5126600.470	835.089
72	24.000	3.000	0.000	2316064.093	5126601.731	835.202
1027	27.000	0.000	0.000	2316091.222	5126613.664	830.327
73	25.000	1.000	0.000	2316112.482	5126609.726	829.444
74	25.000	2.000	0.000	2316138.857	5126613.075	828.666
75	25.000	3.000	0.000	2316163.060	5126617.755	828.154
1028	28.000	0.000	0.000	2316189.970	5126616.246	826.538
1029	29.000	0.000	0.000	2316238.609	5126607.139	822.531
1030	30.000	0.000	0.000	2316277.990	5126590.891	820.843
